STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,SIMILR_INDUTY_STOR_CO,STOR_CO,FRC_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200043,건축물청소,10.0,10.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200044,여행사,537.0,537.0,0.0,0.0,1.0,2.0,11.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200045,비디오/서적임대,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200047,가정용품임대,5.0,5.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300001,슈퍼마켓,226.0,206.0,20.0,4.0,10.0,2.0,5.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300002,편의점,99.0,28.0,71.0,2.0,2.0,3.0,3.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300003,컴퓨터및주변장치판매,28.0,28.0,0.0,4.0,1.0,4.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300004,핸드폰,30.0,30.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300005,주류도매,17.0,17.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300006,미곡판매,64.0,64.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300007,육류판매,17.0,15.0,2.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300008,수산물판매,39.0,39.0,0.0,0.0,0.0,5.0,2.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300009,청과상,40.0,40.0,0.0,5.0,2.0,5.0,2.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300010,반찬가게,119.0,113.0,6.0,1.0,1.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300011,일반의류,2761.0,2759.0,2.0,1.0,21.0,1.0,35.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300012,한복점,13.0,13.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300013,유아의류,194.0,192.0,2.0,3.0,5.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300014,신발,244.0,238.0,6.0,0.0,0.0,2.0,4.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300015,가방,277.0,275.0,2.0,1.0,3.0,0.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300016,안경,146.0,131.0,15.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300017,시계및귀금속,240.0,240.0,0.0,1.0,3.0,1.0,2.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300018,의약품,90.0,88.0,2.0,4.0,4.0,2.0,2.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300019,의료기기,8.0,8.0,0.0,0.0,0.0,25.0,2.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300020,서적,39.0,38.0,1.0,3.0,1.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300021,문구,59.0,53.0,6.0,0.0,0.0,2.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300022,화장품,400.0,340.0,60.0,0.0,1.0,1.0,3.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300023,미용재료,43.0,43.0,0.0,2.0,1.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300024,운동/경기용품,30.0,30.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300025,자전거 및 기타운송장비,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300026,완구,13.0,13.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300027,섬유제품,71.0,71.0,0.0,3.0,2.0,3.0,2.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300028,화초,40.0,40.0,0.0,5.0,2.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300029,애완동물,21.0,21.0,0.0,0.0,0.0,10.0,2.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300031,가구,28.0,28.0,0.0,4.0,1.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300032,가전제품,56.0,56.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300033,철물점,6.0,6.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300035,인테리어,116.0,116.0,0.0,2.0,2.0,1.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300036,조명용품,35.0,35.0,0.0,0.0,0.0,3.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300038,자동차부품,8.0,8.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300040,재생용품 판매점,7.0,7.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300041,예술품,33.0,33.0,0.0,0.0,0.0,3.0,1.0
20262,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300043,전자상거래업,39.0,39.0,0.0,0.0,0.0,3.0,1.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS100001,한식음식점,154.0,128.0,26.0,3.0,5.0,3.0,4.0
